fecha,Pot/uno,Pot/dos,Pot/tres,LM35/uno,Led/estado
13:38:49,1.032,,,,
13:38:49,1.032,1.990,,,
13:38:49,1.032,1.990,2.991,,
13:38:49,1.032,1.990,2.991,33.822,
13:38:49,1.032,1.990,2.991,33.822,OFF
13:38:50,1.031,1.990,2.991,33.822,OFF
13:38:50,1.031,1.990,2.991,33.822,OFF
13:38:50,1.031,1.990,2.987,33.822,OFF
13:38:50,1.031,1.990,2.987,33.944,OFF
13:38:50,1.031,1.990,2.987,33.944,OFF
13:38:51,1.030,1.990,2.987,33.944,OFF
13:38:51,1.030,1.991,2.987,33.944,OFF
13:38:51,1.030,1.991,2.987,33.944,OFF
13:38:51,1.030,1.991,2.987,33.700,OFF
13:38:51,1.030,1.991,2.987,33.700,OFF
13:38:52,1.031,1.991,2.987,33.700,OFF
13:38:52,1.031,1.990,2.987,33.700,OFF
13:38:52,1.031,1.990,2.987,33.700,OFF
13:38:52,1.031,1.990,2.987,33.944,OFF
13:38:52,1.031,1.990,2.987,33.944,OFF
13:38:52,1.031,1.990,2.987,33.944,ON
13:38:53,1.027,1.990,2.987,33.944,ON
13:38:53,1.027,1.983,2.987,33.944,ON
13:38:53,1.027,1.983,2.980,33.944,ON
13:38:53,1.027,1.983,2.980,38.217,ON
13:38:53,1.027,1.983,2.980,38.217,ON
13:38:54,1.031,1.983,2.980,38.217,ON
13:38:54,1.031,1.990,2.980,38.217,ON
13:38:54,1.031,1.990,2.987,38.217,ON
13:38:54,1.031,1.990,2.987,38.950,ON
13:38:54,1.031,1.990,2.987,38.950,ON
13:38:55,1.030,1.990,2.987,38.950,ON
13:38:55,1.030,1.991,2.987,38.950,ON
13:38:55,1.030,1.991,2.987,38.950,ON
13:38:55,1.030,1.991,2.987,38.462,ON
13:38:55,1.030,1.991,2.987,38.462,ON
13:38:55,1.030,1.991,2.987,38.462,OFF
13:38:56,1.032,1.991,2.987,38.462,OFF
13:38:56,1.032,1.990,2.987,38.462,OFF
13:38:56,1.032,1.990,2.990,38.462,OFF
13:38:56,1.032,1.990,2.990,33.455,OFF
13:38:56,1.032,1.990,2.990,33.455,OFF
13:38:57,1.029,1.990,2.990,33.455,OFF
13:38:57,1.029,1.987,2.990,33.455,OFF
13:38:57,1.029,1.987,2.983,33.455,OFF
13:38:57,1.029,1.987,2.983,33.944,OFF
13:38:57,1.029,1.987,2.983,33.944,OFF
13:38:58,1.030,1.987,2.983,33.944,OFF
13:38:58,1.030,1.990,2.983,33.944,OFF
13:38:58,1.030,1.990,2.989,33.944,OFF
13:38:58,1.030,1.990,2.989,33.944,OFF
13:38:58,1.030,1.990,2.989,33.944,OFF
13:38:58,1.030,1.990,2.989,33.944,ON
13:38:59,1.027,1.990,2.989,33.944,ON
13:38:59,1.027,1.986,2.989,33.944,ON
13:38:59,1.027,1.986,2.983,33.944,ON
13:38:59,1.027,1.986,2.983,38.462,ON
13:38:59,1.027,1.986,2.983,38.462,ON
13:39:00,1.030,1.986,2.983,38.462,ON
13:39:00,1.030,1.991,2.983,38.462,ON
13:39:00,1.030,1.991,2.990,38.462,ON
13:39:00,1.030,1.991,2.990,38.706,ON
13:39:00,1.030,1.991,2.990,38.706,ON
13:39:01,1.031,1.991,2.990,38.706,ON
13:39:01,1.031,1.989,2.990,38.706,ON
13:39:01,1.031,1.989,2.989,38.706,ON
13:39:01,1.031,1.989,2.989,38.462,ON
13:39:01,1.031,1.989,2.989,38.462,ON
13:39:02,1.032,1.989,2.989,38.462,ON
13:39:02,1.032,1.993,2.989,38.462,ON
13:39:02,1.032,1.993,2.989,38.462,ON
13:39:02,1.032,1.993,2.989,38.706,ON
13:39:02,1.032,1.993,2.989,38.706,ON
13:39:03,1.031,1.993,2.989,38.706,ON
13:39:03,1.031,1.991,2.989,38.706,ON
13:39:03,1.031,1.991,2.989,38.706,ON
13:39:03,1.031,1.991,2.989,38.706,ON
13:39:03,1.031,1.991,2.989,38.706,ON
13:39:03,1.031,1.991,2.989,38.706,OFF
13:39:04,1.032,1.991,2.989,38.706,OFF
